idx,code,parent_code,type,chapter,section,depth,branching_factor,subtree_size,is_leaf,description
11857,I69.331,I69.33,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of upper limb following cerebral infarction affecting right dominant side
11858,I69.332,I69.33,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of upper limb following cerebral infarction affecting left dominant side
11859,I69.333,I69.33,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of upper limb following cerebral infarction affecting right non-dominant side
11860,I69.334,I69.33,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of upper limb following cerebral infarction affecting left non-dominant side
11861,I69.339,I69.33,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of upper limb following cerebral infarction affecting unspecified side
11862,I69.34,I69.3,diagnosis,9,SEC_I60-I69,5,5,5,0,Monoplegia of lower limb following cerebral infarction
11863,I69.341,I69.34,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of lower limb following cerebral infarction affecting right dominant side
11864,I69.342,I69.34,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of lower limb following cerebral infarction affecting left dominant side
11865,I69.343,I69.34,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of lower limb following cerebral infarction affecting right non-dominant side
11866,I69.344,I69.34,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of lower limb following cerebral infarction affecting left non-dominant side
11867,I69.349,I69.34,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of lower limb following cerebral infarction affecting unspecified side
11868,I69.35,I69.3,diagnosis,9,SEC_I60-I69,5,5,5,0,Hemiplegia and hemiparesis following cerebral infarction
11869,I69.351,I69.35,diagnosis,9,SEC_I60-I69,6,0,0,1,Hemiplegia and hemiparesis following cerebral infarction affecting right dominant side
11870,I69.352,I69.35,diagnosis,9,SEC_I60-I69,6,0,0,1,Hemiplegia and hemiparesis following cerebral infarction affecting left dominant side
11871,I69.353,I69.35,diagnosis,9,SEC_I60-I69,6,0,0,1,Hemiplegia and hemiparesis following cerebral infarction affecting right non-dominant side
11872,I69.354,I69.35,diagnosis,9,SEC_I60-I69,6,0,0,1,Hemiplegia and hemiparesis following cerebral infarction affecting left non-dominant side
11873,I69.359,I69.35,diagnosis,9,SEC_I60-I69,6,0,0,1,Hemiplegia and hemiparesis following cerebral infarction affecting unspecified side
11874,I69.36,I69.3,diagnosis,9,SEC_I60-I69,5,6,6,0,Other paralytic syndrome following cerebral infarction
11875,I69.361,I69.36,diagnosis,9,SEC_I60-I69,6,0,0,1,Other paralytic syndrome following cerebral infarction affecting right dominant side
11876,I69.362,I69.36,diagnosis,9,SEC_I60-I69,6,0,0,1,Other paralytic syndrome following cerebral infarction affecting left dominant side
11877,I69.363,I69.36,diagnosis,9,SEC_I60-I69,6,0,0,1,Other paralytic syndrome following cerebral infarction affecting right non-dominant side
11878,I69.364,I69.36,diagnosis,9,SEC_I60-I69,6,0,0,1,Other paralytic syndrome following cerebral infarction affecting left non-dominant side
11879,I69.365,I69.36,diagnosis,9,SEC_I60-I69,6,0,0,1,"Other paralytic syndrome following cerebral infarction, bilateral"
11880,I69.369,I69.36,diagnosis,9,SEC_I60-I69,6,0,0,1,Other paralytic syndrome following cerebral infarction affecting unspecified side
11881,I69.39,I69.3,diagnosis,9,SEC_I60-I69,5,5,5,0,Other sequelae of cerebral infarction
11882,I69.390,I69.39,diagnosis,9,SEC_I60-I69,6,0,0,1,Apraxia following cerebral infarction
11883,I69.391,I69.39,diagnosis,9,SEC_I60-I69,6,0,0,1,Dysphagia following cerebral infarction
11884,I69.392,I69.39,diagnosis,9,SEC_I60-I69,6,0,0,1,Facial weakness following cerebral infarction
11885,I69.393,I69.39,diagnosis,9,SEC_I60-I69,6,0,0,1,Ataxia following cerebral infarction
11886,I69.398,I69.39,diagnosis,9,SEC_I60-I69,6,0,0,1,Other sequelae of cerebral infarction
11887,I69.8,I69,diagnosis,9,SEC_I60-I69,4,8,47,0,Sequelae of other cerebrovascular diseases
11888,I69.80,I69.8,diagnosis,9,SEC_I60-I69,5,0,0,1,Unspecified sequelae of other cerebrovascular disease
11889,I69.81,I69.8,diagnosis,9,SEC_I60-I69,5,8,8,0,Cognitive deficits following other cerebrovascular disease
11890,I69.810,I69.81,diagnosis,9,SEC_I60-I69,6,0,0,1,Attention and concentration deficit following other cerebrovascular disease
11891,I69.811,I69.81,diagnosis,9,SEC_I60-I69,6,0,0,1,Memory deficit following other cerebrovascular disease
11892,I69.812,I69.81,diagnosis,9,SEC_I60-I69,6,0,0,1,Visuospatial deficit and spatial neglect following other cerebrovascular disease
11893,I69.813,I69.81,diagnosis,9,SEC_I60-I69,6,0,0,1,Psychomotor deficit following other cerebrovascular disease
11894,I69.814,I69.81,diagnosis,9,SEC_I60-I69,6,0,0,1,Frontal lobe and executive function deficit following other cerebrovascular disease
11895,I69.815,I69.81,diagnosis,9,SEC_I60-I69,6,0,0,1,Cognitive social or emotional deficit following other cerebrovascular disease
11896,I69.818,I69.81,diagnosis,9,SEC_I60-I69,6,0,0,1,Other symptoms and signs involving cognitive functions following other cerebrovascular disease
11897,I69.819,I69.81,diagnosis,9,SEC_I60-I69,6,0,0,1,Unspecified symptoms and signs involving cognitive functions following other cerebrovascular disease
11898,I69.82,I69.8,diagnosis,9,SEC_I60-I69,5,5,5,0,Speech and language deficits following other cerebrovascular disease
11899,I69.820,I69.82,diagnosis,9,SEC_I60-I69,6,0,0,1,Aphasia following other cerebrovascular disease
11900,I69.821,I69.82,diagnosis,9,SEC_I60-I69,6,0,0,1,Dysphasia following other cerebrovascular disease
11901,I69.822,I69.82,diagnosis,9,SEC_I60-I69,6,0,0,1,Dysarthria following other cerebrovascular disease
11902,I69.823,I69.82,diagnosis,9,SEC_I60-I69,6,0,0,1,Fluency disorder following other cerebrovascular disease
11903,I69.828,I69.82,diagnosis,9,SEC_I60-I69,6,0,0,1,Other speech and language deficits following other cerebrovascular disease
11904,I69.83,I69.8,diagnosis,9,SEC_I60-I69,5,5,5,0,Monoplegia of upper limb following other cerebrovascular disease
11905,I69.831,I69.83,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of upper limb following other cerebrovascular disease affecting right dominant side
11906,I69.832,I69.83,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of upper limb following other cerebrovascular disease affecting left dominant side
11907,I69.833,I69.83,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of upper limb following other cerebrovascular disease affecting right non-dominant side
11908,I69.834,I69.83,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of upper limb following other cerebrovascular disease affecting left non-dominant side
11909,I69.839,I69.83,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of upper limb following other cerebrovascular disease affecting unspecified side
11910,I69.84,I69.8,diagnosis,9,SEC_I60-I69,5,5,5,0,Monoplegia of lower limb following other cerebrovascular disease
11911,I69.841,I69.84,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of lower limb following other cerebrovascular disease affecting right dominant side
11912,I69.842,I69.84,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of lower limb following other cerebrovascular disease affecting left dominant side
11913,I69.843,I69.84,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of lower limb following other cerebrovascular disease affecting right non-dominant side
11914,I69.844,I69.84,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of lower limb following other cerebrovascular disease affecting left non-dominant side
11915,I69.849,I69.84,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of lower limb following other cerebrovascular disease affecting unspecified side
11916,I69.85,I69.8,diagnosis,9,SEC_I60-I69,5,5,5,0,Hemiplegia and hemiparesis following other cerebrovascular disease
11917,I69.851,I69.85,diagnosis,9,SEC_I60-I69,6,0,0,1,Hemiplegia and hemiparesis following other cerebrovascular disease affecting right dominant side
11918,I69.852,I69.85,diagnosis,9,SEC_I60-I69,6,0,0,1,Hemiplegia and hemiparesis following other cerebrovascular disease affecting left dominant side
11919,I69.853,I69.85,diagnosis,9,SEC_I60-I69,6,0,0,1,Hemiplegia and hemiparesis following other cerebrovascular disease affecting right non-dominant side
11920,I69.854,I69.85,diagnosis,9,SEC_I60-I69,6,0,0,1,Hemiplegia and hemiparesis following other cerebrovascular disease affecting left non-dominant side
11921,I69.859,I69.85,diagnosis,9,SEC_I60-I69,6,0,0,1,Hemiplegia and hemiparesis following other cerebrovascular disease affecting unspecified side
11922,I69.86,I69.8,diagnosis,9,SEC_I60-I69,5,6,6,0,Other paralytic syndrome following other cerebrovascular disease
11923,I69.861,I69.86,diagnosis,9,SEC_I60-I69,6,0,0,1,Other paralytic syndrome following other cerebrovascular disease affecting right dominant side
11924,I69.862,I69.86,diagnosis,9,SEC_I60-I69,6,0,0,1,Other paralytic syndrome following other cerebrovascular disease affecting left dominant side
11925,I69.863,I69.86,diagnosis,9,SEC_I60-I69,6,0,0,1,Other paralytic syndrome following other cerebrovascular disease affecting right non-dominant side
11926,I69.864,I69.86,diagnosis,9,SEC_I60-I69,6,0,0,1,Other paralytic syndrome following other cerebrovascular disease affecting left non-dominant side
11927,I69.865,I69.86,diagnosis,9,SEC_I60-I69,6,0,0,1,"Other paralytic syndrome following other cerebrovascular disease, bilateral"
11928,I69.869,I69.86,diagnosis,9,SEC_I60-I69,6,0,0,1,Other paralytic syndrome following other cerebrovascular disease affecting unspecified side
11929,I69.89,I69.8,diagnosis,9,SEC_I60-I69,5,5,5,0,Other sequelae of other cerebrovascular disease
11930,I69.890,I69.89,diagnosis,9,SEC_I60-I69,6,0,0,1,Apraxia following other cerebrovascular disease
11931,I69.891,I69.89,diagnosis,9,SEC_I60-I69,6,0,0,1,Dysphagia following other cerebrovascular disease
11932,I69.892,I69.89,diagnosis,9,SEC_I60-I69,6,0,0,1,Facial weakness following other cerebrovascular disease
11933,I69.893,I69.89,diagnosis,9,SEC_I60-I69,6,0,0,1,Ataxia following other cerebrovascular disease
11934,I69.898,I69.89,diagnosis,9,SEC_I60-I69,6,0,0,1,Other sequelae of other cerebrovascular disease
11935,I69.9,I69,diagnosis,9,SEC_I60-I69,4,8,47,0,Sequelae of unspecified cerebrovascular diseases
11936,I69.90,I69.9,diagnosis,9,SEC_I60-I69,5,0,0,1,Unspecified sequelae of unspecified cerebrovascular disease
